#,Agent type,Use case,Proof (short),SaaS affected (short),Volume,Determinism,Data moat,Verdict,Build-vs-buy,Proof — what's deployed,SaaS in the crosshairs,volume_score,determinism_score,moat_exposure,exposure_score,moat_label
11,Creative,Ad & creative generation at scale,"WPP, Authentic Brands Group, PODS",Creative production seats,H,M,L,REPLACE,Production seats → gen pipeline,"WPP and Authentic Brands Group turn a single hypothesis into hundreds-to-thousands of personalized creative variations in hours; PODS built the “World's Smartest Billboard” that generated 6,000+ headlines across NYC neighborhoods in 29 hours. Creative becomes a computational process.",Per-editor creative-production seats and the freelance long tail are displaced as generation moves from manual to computational. Brand / DAM systems stay; production seats shrink hard. Replace.,3,2,3,8,Low moat
12,Creative,Video generation,"Veo deployments, Adobe",Video editing SaaS,M,M,M,RENEGOTIATE,Agent drafts; editors finish,Veo deployments and Adobe's gen-video tools produce and edit footage from prompts; brands spin cinematic variations without a full production cycle. The agent drafts; editors refine the final cut.,"Video-editing SaaS is partially displaced — the agent handles first-pass generation while editors finish high-stakes work. Hybrid: agent does the volume, humans own the last mile. Renegotiate.",2,2,2,6,Medium moat
13,Creative,Personalized marketing content,"Adobe, ElevenLabs (voice)",Marketing content tools,H,M,L,REPLACE,Content-tool seats → agent,"Adobe's gen workflows and ElevenLabs' voice generation produce hyper-personalized, real-time creative; marketing teams generate variant copy, voice, and assets on demand instead of producing each by hand.",Per-seat marketing-content and copy tools are displaced by an agent that generates on brief. The campaign / martech platform stays as orchestration; the content-tool seats go. Replace at the content layer.,3,2,3,8,Low moat
14,Creative,Brand / 3D asset generation,BMW Group SORDI.ai,Asset / DAM tooling,M,M,H,KEEP,DAM stays SoR; agent feeds it,BMW Group's SORDI.ai generates large synthetic 3D datasets and brand assets for industrial and creative use. The agent feeds a managed asset pipeline rather than replacing it.,The DAM / asset system remains the system of record and compounds in value as the agent fills it; tooling spend shifts rather than disappears. Keep — the agent enriches the moat.,2,2,1,5,High moat
15,Code,AI code assistant,"Valeo, Broadcom (Gemini Code Assist)",IDE / code-review add-ons,H,M,M,RENEGOTIATE,Enriches IDE; consumption not seats,"Valeo and Broadcom deploy Gemini Code Assist across engineering; developers move faster through problems they already understand. The assistant augments the IDE, not the engineer's judgment.","This enriches the developer toolchain; the shift is from per-seat add-ons to consumption-based assistance. Architectural judgment still sits with humans. Renegotiate — consumption, not seats.",3,2,2,7,Medium moat
16,Code,Legacy-IT modernization (NL→SAP),"Suzano, Deutsche Telekom",Modernization consulting / tools,M,L,H,KEEP,Agent unlocks legacy; keep core systems,"Suzano and Deutsche Telekom use Gemini to put natural-language interfaces over 40-year-old SAP, mainframe, and COBOL systems — letting non-technical staff query siloed data without a costly migration.","This is pure enrichment — the agent unlocks the legacy system rather than replacing it, and the system of record becomes more valuable. Modernization consulting / tooling spend shifts to the agent layer. Keep.",2,1,1,4,High moat
17,Code,App build / migration automation,Code-agent deployments,Low-code & migration tooling,M,M,M,RENEGOTIATE,Agent replaces low-code seats partially,Code-agent deployments scaffold applications and automate migrations that used to require specialist teams; experienced engineers ship faster while the agent handles boilerplate and conversions.,"Low-code builders and migration tooling are partially displaced where the workflow is well-defined, but complex / bespoke work still needs humans. Hybrid — the agent replaces the routine slice. Renegotiate.",2,2,2,6,Medium moat
18,Data,NL analytics (text-to-SQL),"Spotify, Etsy (BigQuery)",BI dashboards (Looker-class),H,M,M,RENEGOTIATE,Agent over warehouse; trim BI seats,Spotify and Etsy let teams ask questions of BigQuery in natural language instead of building dashboards; the agent writes the query and returns the answer.,"BI dashboard seats (Looker-class) are squeezed because the agent collapses the interface and answers directly — but the warehouse remains the system of record and a verification / dashboard layer stays for trust. Hybrid: trim BI seats, keep the warehouse. Renegotiate.",3,2,2,7,Medium moat
19,Data,Document AI / extraction,Document AI deployments,IDP / OCR SaaS,H,H,L,REPLACE,IDP/OCR seats → agent + Document AI,"Document AI deployments parse invoices, forms, and contracts at scale, replacing manual keying and template-based capture. Output is structured and deterministic.","IDP / OCR SaaS is directly displaced — the agent extracts and routes natively, absorbing the clerk role. The downstream system of record stays; the capture-tool seats go. Replace.",3,3,3,9,Low moat
20,Data,Forecasting / predictive ops,"Honeywell, Geotab",Predictive-analytics SaaS,M,M,H,KEEP,Agent augments; data moat compounds,Honeywell and Geotab apply agents to predictive maintenance and fleet / operations forecasting on top of proprietary sensor and telematics data. The agent augments existing models.,"Predictive-analytics SaaS is enriched, not replaced — the moat is the operational data feeding the forecast. Spend consolidates onto the platform that owns the data. Keep.",2,2,1,5,High moat
21,Data,Research & insight agent,"MLB Scout Insights, NotebookLM",Market-research tooling,M,M,M,RENEGOTIATE,Agent replaces research-tool seats,MLB's “Scout Insights” and NotebookLM-style agents synthesize large corpora into briefings; teams get a usable insight package in minutes instead of days.,"Standalone market-research and insight tooling seats are displaced by an agent that synthesizes on demand, but proprietary data sources retain value. Renegotiate — fewer research-tool seats.",2,2,2,6,Medium moat
22,Security,Threat detection / SecOps,Google Security Operations deployments,SIEM tier-1,H,M,H,KEEP,Agent rides on SIEM; keep record system,Google Security Operations deployments correlate signals and surface threats; security teams move from manual triage to agent-surfaced detection. The agent rides on the SIEM's data.,"SIEM tier-1 work is enriched — the agent reduces toil, but the SIEM remains the system of record and the incident history is the moat. Keep the platform; the L1 seat compresses.",3,2,1,6,High moat
23,Security,Agentic auto-remediation,Security-agent deployments,SOAR / runbooks,H,H,L,REPLACE,SOAR/runbook seats → agent in policy,"Security-agent deployments write detection rules, isolate compromised workloads, and deploy honeytokens autonomously — neutralizing tier-1 threats without human intervention, within a policy envelope.",SOAR and runbook-automation seats are displaced as the agent becomes the responder. The system of record stays for audit; the playbook-authoring seats go. Replace within policy.,3,3,3,9,Low moat
24,Security,Fraud & risk detection,"Citi, Wells Fargo, Commerzbank Bene",Fraud / risk add-ons,H,M,H,KEEP,Agent enriches; proprietary data wins,Citi and Wells Fargo apply agents to risk and fraud analysis; Commerzbank's “Bene” assists risk workflows. The agent enriches detection on top of proprietary transaction data.,"Fraud / risk add-ons are enriched, not replaced — the bank's data and models are the moat, and being wrong is expensive, so humans stay in the loop. Keep — the agent augments, the data wins.",3,2,1,6,High moat
25,Security,Compliance & audit agent,"U.S. FDA, regulated deployments",GRC tooling,M,M,H,KEEP,Agent drafts; GRC stays record system,"The U.S. Food and Drug Administration and other regulated bodies use agents to draft and review compliance documentation; the agent prepares, a human signs off. Auditability is mandatory.",GRC tooling stays the system of record because of audit and regulatory requirements; the agent drafts and accelerates rather than displacing the platform. Keep.,2,2,1,5,High moat
