company,url,primary_category,secondary_categories,positioning,target_buyer,product_type,funding_stage,latest_funding,headcount,pricing_model,public_pricing,deployment_model,enterprise_readiness,moat,risk,sources,confidence
Aleph Alpha,https://aleph-alpha.com,Foundation Models,Governance,sovereign European AI models for enterprises and governments,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://aleph-alpha.com,low-to-medium; phase1 candidate
Writer,https://writer.com,Foundation Models,Enterprise Platforms,enterprise generative AI platform and domain-tuned models,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://writer.com,low-to-medium; phase1 candidate
NVIDIA,https://www.nvidia.com,Infrastructure,AI Development Platforms,"accelerated compute, AI software, and reference architectures",enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.nvidia.com,low-to-medium; phase1 candidate
AMD,https://www.amd.com,Infrastructure,Developer Platforms,AI accelerators and compute platform,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.amd.com,low-to-medium; phase1 candidate
CoreWeave,https://www.coreweave.com,Infrastructure,Managed Services,GPU cloud for AI workloads,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.coreweave.com,low-to-medium; phase1 candidate
Lambda,https://lambdalabs.com,Infrastructure,Managed Services,GPU cloud and AI developer workstations,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://lambdalabs.com,low-to-medium; phase1 candidate
Crusoe,https://crusoe.ai,Infrastructure,Managed Services,AI cloud infrastructure and data centers,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://crusoe.ai,low-to-medium; phase1 candidate
Together AI,https://www.together.ai,Infrastructure,AI Development Platforms,"inference, fine-tuning, and model deployment",enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.together.ai,low-to-medium; phase1 candidate
Fireworks AI,https://fireworks.ai,Infrastructure,AI Development Platforms,fast inference and generative AI platform,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://fireworks.ai,low-to-medium; phase1 candidate
Modal,https://modal.com,Infrastructure,Developer Platforms,serverless compute for AI and data workloads,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://modal.com,low-to-medium; phase1 candidate
Replicate,https://replicate.com,Infrastructure,Developer Platforms,model hosting and inference APIs,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://replicate.com,low-to-medium; phase1 candidate
Baseten,https://www.baseten.co,Infrastructure,AI Development Platforms,model deployment and inference platform,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.baseten.co,low-to-medium; phase1 candidate
RunPod,https://www.runpod.io,Infrastructure,Developer Platforms,GPU cloud for AI developers,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.runpod.io,low-to-medium; phase1 candidate
Hugging Face,https://huggingface.co,AI Development Platforms,Foundation Models;Infrastructure,"model hub, datasets, inference, and enterprise AI tooling",enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://huggingface.co,low-to-medium; phase1 candidate
Databricks,https://www.databricks.com,AI Development Platforms,Enterprise Platforms,"lakehouse, Mosaic AI, and enterprise data/AI platform",enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.databricks.com,low-to-medium; phase1 candidate
Snowflake,https://www.snowflake.com,Enterprise Platforms,AI Development Platforms,governed enterprise data cloud and AI services,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.snowflake.com,low-to-medium; phase1 candidate
Anyscale,https://www.anyscale.com,AI Development Platforms,Infrastructure,Ray-based AI application and compute platform,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.anyscale.com,low-to-medium; phase1 candidate
Weights & Biases,https://wandb.ai,AI Operations,AI Development Platforms,"experiment tracking, model evaluation, and AI developer workflow",enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://wandb.ai,low-to-medium; phase1 candidate
LangChain,https://www.langchain.com,Agent Frameworks,AI Development Platforms,framework and platform for LLM/agent applications,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.langchain.com,low-to-medium; phase1 candidate
LlamaIndex,https://www.llamaindex.ai,Agent Frameworks,Knowledge Management,data framework for LLM and agent applications,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.llamaindex.ai,low-to-medium; phase1 candidate
CrewAI,https://www.crewai.com,Agent Frameworks,AI Development Platforms,multi-agent workflow framework and platform,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.crewai.com,low-to-medium; phase1 candidate
deepset,https://www.deepset.ai,Agent Frameworks,Knowledge Management,Haystack framework and enterprise AI search,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.deepset.ai,low-to-medium; phase1 candidate
Microsoft AutoGen,https://microsoft.github.io/autogen,Agent Frameworks,Developer Platforms,multi-agent framework from Microsoft Research,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://microsoft.github.io/autogen,low-to-medium; phase1 candidate
Microsoft Semantic Kernel,https://learn.microsoft.com/semantic-kernel,Agent Frameworks,Developer Platforms,agent/application orchestration SDK,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://learn.microsoft.com/semantic-kernel,low-to-medium; phase1 candidate
AutoGPT,https://agpt.co,Agent Frameworks,Developer Platforms,open-source agent experimentation platform,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://agpt.co,low-to-medium; phase1 candidate
Dust,https://dust.tt,Agent Frameworks,Enterprise Platforms,custom AI assistants and internal workflow agents,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://dust.tt,low-to-medium; phase1 candidate
Relevance AI,https://relevanceai.com,Agent Frameworks,Enterprise Platforms,AI workforce and agent platform,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://relevanceai.com,low-to-medium; phase1 candidate
Zapier,https://zapier.com,Agent Frameworks,Enterprise Platforms,automation and AI agents across SaaS apps,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://zapier.com,low-to-medium; phase1 candidate
Microsoft Copilot,https://www.microsoft.com/microsoft-copilot,Enterprise Platforms,Developer Platforms,AI assistants embedded across Microsoft products,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.microsoft.com/microsoft-copilot,low-to-medium; phase1 candidate
Salesforce Agentforce,https://www.salesforce.com/agentforce,Enterprise Platforms,Vertical AI,enterprise agents embedded in CRM and service workflows,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.salesforce.com/agentforce,low-to-medium; phase1 candidate
ServiceNow,https://www.servicenow.com,Enterprise Platforms,AI Operations,workflow platform with AI agents and enterprise automation,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.servicenow.com,low-to-medium; phase1 candidate
IBM watsonx,https://www.ibm.com/watsonx,Enterprise Platforms,Governance;AI Consulting,"enterprise AI platform, governance, and consulting ecosystem",enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.ibm.com/watsonx,low-to-medium; phase1 candidate
SAP Joule,https://www.sap.com/products/artificial-intelligence.html,Enterprise Platforms,Vertical AI,AI copilot and agents in enterprise ERP workflows,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.sap.com/products/artificial-intelligence.html,low-to-medium; phase1 candidate
Oracle AI,https://www.oracle.com/artificial-intelligence,Enterprise Platforms,Infrastructure,AI services across Oracle cloud and enterprise apps,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.oracle.com/artificial-intelligence,low-to-medium; phase1 candidate
Workday AI,https://www.workday.com/en-us/artificial-intelligence.html,Enterprise Platforms,Vertical AI,AI for HR and finance workflows,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.workday.com/en-us/artificial-intelligence.html,low-to-medium; phase1 candidate
Atlassian Rovo,https://www.atlassian.com/software/rovo,Enterprise Platforms,Knowledge Management,AI teammate/search for Atlassian work graph,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.atlassian.com/software/rovo,low-to-medium; phase1 candidate
Adobe Firefly,https://www.adobe.com/products/firefly.html,Enterprise Platforms,Vertical AI,generative AI for creative and marketing workflows,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.adobe.com/products/firefly.html,low-to-medium; phase1 candidate
Box AI,https://www.box.com/ai,Enterprise Platforms,Knowledge Management,AI over enterprise content,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.box.com/ai,low-to-medium; phase1 candidate
Zoom AI Companion,https://www.zoom.com/en/products/ai-assistant,Enterprise Platforms,Knowledge Management,AI assistant embedded in collaboration workflows,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.zoom.com/en/products/ai-assistant,low-to-medium; phase1 candidate
GitHub Copilot,https://github.com/features/copilot,Developer Platforms,AI Development Platforms,AI coding assistant and developer workflow platform,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://github.com/features/copilot,low-to-medium; phase1 candidate
Cursor,https://cursor.com,Developer Platforms,AI Development Platforms,AI-native code editor,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://cursor.com,low-to-medium; phase1 candidate
Replit,https://replit.com,Developer Platforms,AI Development Platforms,cloud development environment with AI agent/coding support,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://replit.com,low-to-medium; phase1 candidate
Cognition,https://www.cognition.ai,Developer Platforms,Agent Frameworks,AI software engineering agent,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.cognition.ai,low-to-medium; phase1 candidate
Poolside,https://poolside.ai,Developer Platforms,Foundation Models,software development-focused AI models and tooling,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://poolside.ai,low-to-medium; phase1 candidate
Sourcegraph Cody,https://sourcegraph.com/cody,Developer Platforms,Knowledge Management,AI coding assistant over large codebases,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://sourcegraph.com/cody,low-to-medium; phase1 candidate
Tabnine,https://www.tabnine.com,Developer Platforms,AI Development Platforms,enterprise AI code assistant,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.tabnine.com,low-to-medium; phase1 candidate
Codeium/Windsurf,https://windsurf.com,Developer Platforms,AI Development Platforms,AI coding assistant and IDE,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://windsurf.com,low-to-medium; phase1 candidate
JetBrains AI,https://www.jetbrains.com/ai,Developer Platforms,AI Development Platforms,AI assistant inside JetBrains IDEs,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.jetbrains.com/ai,low-to-medium; phase1 candidate
Arize AI,https://arize.com,Observability,AI Operations,ML and LLM observability/evaluation,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://arize.com,low-to-medium; phase1 candidate
LangSmith,https://www.langchain.com/langsmith,Observability,AI Operations,"LLM application tracing, evaluation, and monitoring",enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.langchain.com/langsmith,low-to-medium; phase1 candidate
Langfuse,https://langfuse.com,Observability,AI Operations,open-source LLM observability,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://langfuse.com,low-to-medium; phase1 candidate
Helicone,https://www.helicone.ai,Observability,AI Operations,LLM observability and gateway analytics,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.helicone.ai,low-to-medium; phase1 candidate
HoneyHive,https://www.honeyhive.ai,Observability,AI Operations,AI agent evaluation and observability,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.honeyhive.ai,low-to-medium; phase1 candidate
Galileo,https://www.galileo.ai,Observability,AI Operations,LLM evaluation and observability platform,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.galileo.ai,low-to-medium; phase1 candidate
WhyLabs,https://whylabs.ai,Observability,AI Operations,AI observability and model monitoring,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://whylabs.ai,low-to-medium; phase1 candidate
Fiddler AI,https://www.fiddler.ai,Observability,Governance,"AI observability, explainability, and governance",enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.fiddler.ai,low-to-medium; phase1 candidate
Datadog,https://www.datadoghq.com,Observability,AI Operations,observability platform extending into AI systems,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.datadoghq.com,low-to-medium; phase1 candidate
New Relic,https://newrelic.com,Observability,AI Operations,observability platform with AI monitoring features,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://newrelic.com,low-to-medium; phase1 candidate
Dynatrace,https://www.dynatrace.com,Observability,AI Operations,enterprise observability and automation,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.dynatrace.com,low-to-medium; phase1 candidate
Lakera,https://www.lakera.ai,Security,Governance,LLM security and guardrails,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.lakera.ai,low-to-medium; phase1 candidate
Protect AI,https://protectai.com,Security,Governance,AI/ML security platform,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://protectai.com,low-to-medium; phase1 candidate
HiddenLayer,https://hiddenlayer.com,Security,Governance,AI model and application security,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://hiddenlayer.com,low-to-medium; phase1 candidate
CalypsoAI,https://calypsoai.com,Security,Governance,enterprise AI security and control platform,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://calypsoai.com,low-to-medium; phase1 candidate
Robust Intelligence,https://www.robustintelligence.com,Security,Governance,AI risk and security testing,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.robustintelligence.com,low-to-medium; phase1 candidate
Aporia,https://www.aporia.com,Security,Observability,AI guardrails and control platform,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.aporia.com,low-to-medium; phase1 candidate
Patronus AI,https://www.patronus.ai,Governance,Observability,LLM evaluation and safety testing,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.patronus.ai,low-to-medium; phase1 candidate
Giskard,https://www.giskard.ai,Governance,Observability,AI testing and evaluation,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.giskard.ai,low-to-medium; phase1 candidate
Credo AI,https://www.credo.ai,Governance,Security,AI governance and risk management,enterprise buyer / developer / operator; refine in source pass,platform / API / service; refine in source pass,source_pending,source_pending,not verified,source_pending,source_pending,source_pending,provisional,provisional; category position and distribution,"provisional; commoditization, platform bundling, or GTM friction",https://www.credo.ai,low-to-medium; phase1 candidate
