company,url,primary_category,secondary_categories,phase4_batch,pricing_status,pricing_model,public_pricing,funding_or_ownership_status,latest_funding_or_transaction,valuation_or_public_status,evidence_status,confidence,next_action
NVIDIA,https://www.nvidia.com,Infrastructure,AI Development Platforms,F_knowledge_infrastructure,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
AMD,https://www.amd.com,Infrastructure,Developer Platforms,F_knowledge_infrastructure,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
CoreWeave,https://www.coreweave.com,Infrastructure,Managed Services,F_knowledge_infrastructure,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Lambda,https://lambdalabs.com,Infrastructure,Managed Services,F_knowledge_infrastructure,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Crusoe,https://crusoe.ai,Infrastructure,Managed Services,F_knowledge_infrastructure,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Together AI,https://www.together.ai,Infrastructure,AI Development Platforms,F_knowledge_infrastructure,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Fireworks AI,https://fireworks.ai,Infrastructure,AI Development Platforms,F_knowledge_infrastructure,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Modal,https://modal.com,Infrastructure,Developer Platforms,F_knowledge_infrastructure,verified,platform fee + compute usage + custom enterprise,yes,source_pending,source_pending,source_pending,pricing_source_attached;funding_status_source_attached,medium-high,ready_for_final_synthesis
Replicate,https://replicate.com,Infrastructure,Developer Platforms,F_knowledge_infrastructure,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Baseten,https://www.baseten.co,Infrastructure,AI Development Platforms,F_knowledge_infrastructure,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
RunPod,https://www.runpod.io,Infrastructure,Developer Platforms,F_knowledge_infrastructure,verified,GPU-hour + serverless + reserved/cluster custom,yes,source_pending,source_pending,source_pending,pricing_source_attached;funding_status_source_attached,medium-high,ready_for_final_synthesis
Hugging Face,https://huggingface.co,AI Development Platforms,Foundation Models;Infrastructure,B_enterprise_platforms,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Databricks,https://www.databricks.com,AI Development Platforms,Enterprise Platforms,B_enterprise_platforms,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Snowflake,https://www.snowflake.com,Enterprise Platforms,AI Development Platforms,B_enterprise_platforms,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Anyscale,https://www.anyscale.com,AI Development Platforms,Infrastructure,B_enterprise_platforms,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Weights & Biases,https://wandb.ai,AI Operations,AI Development Platforms,D_observability_security_governance,verified,seat/platform + usage + custom enterprise,yes,acquired,CoreWeave acquisition reported/completed 2025,~$1.7B reported transaction,pricing_source_attached;funding_status_source_attached,medium-high,ready_for_final_synthesis
LangChain,https://www.langchain.com,Agent Frameworks,AI Development Platforms,C_developer_agent_tools,pending,pending_source_attachment,pending,private venture-backed,$25M Series A reported Feb 2024,source_pending,funding_status_source_attached,medium,attach primary pricing/funding/status sources
LlamaIndex,https://www.llamaindex.ai,Agent Frameworks,Knowledge Management,C_developer_agent_tools,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
CrewAI,https://www.crewai.com,Agent Frameworks,AI Development Platforms,C_developer_agent_tools,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
deepset,https://www.deepset.ai,Agent Frameworks,Knowledge Management,C_developer_agent_tools,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Microsoft AutoGen,https://microsoft.github.io/autogen,Agent Frameworks,Developer Platforms,C_developer_agent_tools,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Microsoft Semantic Kernel,https://learn.microsoft.com/semantic-kernel,Agent Frameworks,Developer Platforms,C_developer_agent_tools,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
AutoGPT,https://agpt.co,Agent Frameworks,Developer Platforms,C_developer_agent_tools,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Dust,https://dust.tt,Agent Frameworks,Enterprise Platforms,C_developer_agent_tools,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Relevance AI,https://relevanceai.com,Agent Frameworks,Enterprise Platforms,C_developer_agent_tools,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Zapier,https://zapier.com,Agent Frameworks,Enterprise Platforms,C_developer_agent_tools,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Microsoft Copilot,https://www.microsoft.com/microsoft-copilot,Enterprise Platforms,Developer Platforms,B_enterprise_platforms,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Salesforce Agentforce,https://www.salesforce.com/agentforce,Enterprise Platforms,Vertical AI,B_enterprise_platforms,verified,seat + flex credits + per conversation,yes,public-company product,n/a,NYSE: CRM public-company product,pricing_source_attached;funding_status_source_attached,medium-high,ready_for_final_synthesis
ServiceNow,https://www.servicenow.com,Enterprise Platforms,AI Operations,B_enterprise_platforms,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
IBM watsonx,https://www.ibm.com/watsonx,Enterprise Platforms,Governance;AI Consulting,B_enterprise_platforms,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
SAP Joule,https://www.sap.com/products/artificial-intelligence.html,Enterprise Platforms,Vertical AI,B_enterprise_platforms,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Oracle AI,https://www.oracle.com/artificial-intelligence,Enterprise Platforms,Infrastructure,B_enterprise_platforms,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Workday AI,https://www.workday.com/en-us/artificial-intelligence.html,Enterprise Platforms,Vertical AI,B_enterprise_platforms,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Atlassian Rovo,https://www.atlassian.com/software/rovo,Enterprise Platforms,Knowledge Management,B_enterprise_platforms,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Adobe Firefly,https://www.adobe.com/products/firefly.html,Enterprise Platforms,Vertical AI,B_enterprise_platforms,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Box AI,https://www.box.com/ai,Enterprise Platforms,Knowledge Management,B_enterprise_platforms,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Zoom AI Companion,https://www.zoom.com/en/products/ai-assistant,Enterprise Platforms,Knowledge Management,B_enterprise_platforms,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
GitHub Copilot,https://github.com/features/copilot,Developer Platforms,AI Development Platforms,C_developer_agent_tools,verified_partial,seat + AI credits,partial,public-company product,n/a,Microsoft-owned product,pricing_source_attached;funding_status_source_attached,medium-high,ready_for_final_synthesis
Cursor,https://cursor.com,Developer Platforms,AI Development Platforms,C_developer_agent_tools,verified,seat + usage + enterprise custom,yes,private venture-backed,$2.3B Series D reported Nov 2025,$29.3B reported valuation,pricing_source_attached;funding_status_source_attached,medium-high,ready_for_final_synthesis
Replit,https://replit.com,Developer Platforms,AI Development Platforms,C_developer_agent_tools,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Cognition,https://www.cognition.ai,Developer Platforms,Agent Frameworks,C_developer_agent_tools,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Poolside,https://poolside.ai,Developer Platforms,Foundation Models,C_developer_agent_tools,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Sourcegraph Cody,https://sourcegraph.com/cody,Developer Platforms,Knowledge Management,C_developer_agent_tools,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Tabnine,https://www.tabnine.com,Developer Platforms,AI Development Platforms,C_developer_agent_tools,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Codeium/Windsurf,https://windsurf.com,Developer Platforms,AI Development Platforms,C_developer_agent_tools,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
JetBrains AI,https://www.jetbrains.com/ai,Developer Platforms,AI Development Platforms,C_developer_agent_tools,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Arize AI,https://arize.com,Observability,AI Operations,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
LangSmith,https://www.langchain.com/langsmith,Observability,AI Operations,D_observability_security_governance,verified,seat + trace volume + deployment runs + custom enterprise,yes,pending_source_attachment,pending_source_attachment,pending_source_attachment,pricing_source_attached,medium,attach primary pricing/funding/status sources
Langfuse,https://langfuse.com,Observability,AI Operations,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Helicone,https://www.helicone.ai,Observability,AI Operations,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
HoneyHive,https://www.honeyhive.ai,Observability,AI Operations,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Galileo,https://www.galileo.ai,Observability,AI Operations,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
WhyLabs,https://whylabs.ai,Observability,AI Operations,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Fiddler AI,https://www.fiddler.ai,Observability,Governance,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Datadog,https://www.datadoghq.com,Observability,AI Operations,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
New Relic,https://newrelic.com,Observability,AI Operations,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Dynatrace,https://www.dynatrace.com,Observability,AI Operations,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Lakera,https://www.lakera.ai,Security,Governance,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Protect AI,https://protectai.com,Security,Governance,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
HiddenLayer,https://hiddenlayer.com,Security,Governance,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
CalypsoAI,https://calypsoai.com,Security,Governance,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Robust Intelligence,https://www.robustintelligence.com,Security,Governance,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Aporia,https://www.aporia.com,Security,Observability,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Patronus AI,https://www.patronus.ai,Governance,Observability,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Giskard,https://www.giskard.ai,Governance,Observability,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Credo AI,https://www.credo.ai,Governance,Security,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Holistic AI,https://www.holisticai.com,Governance,Security,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Arthur AI,https://www.arthur.ai,Governance,Observability,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Monitaur,https://www.monitaur.ai,Governance,Security,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Truera,https://truera.com,Governance,Observability,D_observability_security_governance,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Glean,https://www.glean.com,Knowledge Management,Enterprise Platforms,F_knowledge_infrastructure,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Hebbia,https://www.hebbia.ai,Knowledge Management,Vertical AI,F_knowledge_infrastructure,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Unstructured,https://unstructured.io,Knowledge Management,AI Development Platforms,F_knowledge_infrastructure,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Pinecone,https://www.pinecone.io,Knowledge Management,Infrastructure,F_knowledge_infrastructure,verified,minimum monthly usage + pay-as-you-go,yes,private venture-backed,$100M round reported 2023,$750M reported valuation,pricing_source_attached;funding_status_source_attached,medium-high,ready_for_final_synthesis
Weaviate,https://weaviate.io,Knowledge Management,Infrastructure,F_knowledge_infrastructure,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Chroma,https://www.trychroma.com,Knowledge Management,Infrastructure,F_knowledge_infrastructure,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Elastic,https://www.elastic.co,Knowledge Management,Observability,F_knowledge_infrastructure,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Coveo,https://www.coveo.com,Knowledge Management,Enterprise Platforms,F_knowledge_infrastructure,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Sana,https://sanalabs.com,Knowledge Management,Enterprise Platforms,F_knowledge_infrastructure,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Guru,https://www.getguru.com,Knowledge Management,Enterprise Platforms,F_knowledge_infrastructure,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Notion AI,https://www.notion.com/product/ai,Knowledge Management,Enterprise Platforms,F_knowledge_infrastructure,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Harvey,https://www.harvey.ai,Vertical AI,Enterprise Platforms,E_vertical_ai,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Abridge,https://www.abridge.com,Vertical AI,Healthcare AI,E_vertical_ai,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Ambience Healthcare,https://www.ambiencehealthcare.com,Vertical AI,Healthcare AI,E_vertical_ai,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Hippocratic AI,https://www.hippocraticai.com,Vertical AI,Healthcare AI,E_vertical_ai,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Innovaccer,https://innovaccer.com,Vertical AI,Enterprise Platforms,E_vertical_ai,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Nabla,https://www.nabla.com,Vertical AI,Healthcare AI,E_vertical_ai,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
EvenUp,https://www.evenuplaw.com,Vertical AI,Legal AI,E_vertical_ai,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
EliseAI,https://www.eliseai.com,Vertical AI,Enterprise Platforms,E_vertical_ai,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Sierra,https://sierra.ai,Vertical AI,Enterprise Platforms,E_vertical_ai,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Decagon,https://decagon.ai,Vertical AI,Enterprise Platforms,E_vertical_ai,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Intercom Fin,https://www.intercom.com/fin,Vertical AI,Enterprise Platforms,E_vertical_ai,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Ada,https://www.ada.cx,Vertical AI,Enterprise Platforms,E_vertical_ai,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
SoundHound AI,https://www.soundhound.com,Vertical AI,Enterprise Platforms,E_vertical_ai,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Manus,https://manus.im,Agent Frameworks,Vertical AI,C_developer_agent_tools,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
H Company,https://www.hcompany.ai,Agent Frameworks,Foundation Models,C_developer_agent_tools,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Artisan,https://www.artisan.co,Vertical AI,Agent Frameworks,E_vertical_ai,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Accenture,https://www.accenture.com,AI Consulting,Managed Services,G_consulting_managed_services,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Deloitte,https://www.deloitte.com,AI Consulting,Governance,G_consulting_managed_services,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
McKinsey QuantumBlack,https://www.mckinsey.com/capabilities/quantumblack,AI Consulting,Managed Services,G_consulting_managed_services,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
BCG X,https://www.bcg.com/x,AI Consulting,Managed Services,G_consulting_managed_services,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Bain AI,https://www.bain.com,AI Consulting,Managed Services,G_consulting_managed_services,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
IBM Consulting,https://www.ibm.com/consulting,AI Consulting,Enterprise Platforms,G_consulting_managed_services,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
EY,https://www.ey.com,AI Consulting,Governance,G_consulting_managed_services,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
PwC,https://www.pwc.com,AI Consulting,Governance,G_consulting_managed_services,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
KPMG,https://kpmg.com,AI Consulting,Governance,G_consulting_managed_services,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Capgemini,https://www.capgemini.com,Managed Services,AI Consulting,G_consulting_managed_services,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
Cognizant,https://www.cognizant.com,Managed Services,AI Consulting,G_consulting_managed_services,pending,pending_source_attachment,pending,pending_source_attachment,pending_source_attachment,pending_source_attachment,source_backlog,low; needs source pass,attach primary pricing/funding/status sources
