claim_id,captured_at,target,competitor,arena,source_title,source_url,source_type,published_at,retrieved_at,metric_family,metric_name,metric_value,metric_unit,baseline,comparison,claim_text,quote_excerpt,evidence_strength,confidence,confidence_reason,storyboard_use,notes
EV-D12,2026-07-29,CRN 2026 semiconductor startup cohort,Axelera AI,closed-cohort partner readiness,Axelera AI — More than $250 million funding,https://axelera.ai/news/axelera-ai-secures-more-than-250-million-funding-on-global-commercial-growth,press,2026-02-24,2026-07-29,roi_financial,,250,$MILLION,,,Axelera’s differentiator combines edge-focused acceleration with an explicit partner network and more than $250 million of new funding.,,high,high,Specific current company or cohort fact from the cited source.,slide 12,Claim kind: fact
EV-D13,2026-07-29,CRN 2026 semiconductor startup cohort,Tenstorrent,closed-cohort partner readiness,Tenstorrent — TT-Ascalon S launch,https://tenstorrent.com/newsroom/tenstorrent-sets-new-performance-records-launches-tt--ascalon-s,official,2026-06-30,2026-07-29,other,,,,,,Tenstorrent’s TT-Ascalon S expands its open compute strategy into branch-heavy agentic workloads.,,high,high,Specific current company or cohort fact from the cited source.,slide 13,Claim kind: fact; Co-sources: https://www.crn.com/news/computing/2026/the-10-coolest-semiconductor-startups-of-2026-so-far
EV-D14,2026-07-29,CRN 2026 semiconductor startup cohort,NextSilicon,closed-cohort partner readiness,NextSilicon — Maverick-2 product disclosure,https://www.nextsilicon.com/insights/nextsilicon-breakthrough/,official,2025-10-22,2026-07-29,other,,,,,,NextSilicon says Maverick-2 uses runtime-reconfigurable dataflow and was available in product volumes in Q4 2025.,,high,high,Specific current company or cohort fact from the cited source.,slide 14,Claim kind: fact
EV-D15,2026-07-29,CRN 2026 semiconductor startup cohort,Fractile,closed-cohort partner readiness,Fractile — $220 million financing,https://www.fractile.ai/news/fractile-raises-220m-to-build-the-next-generation-of-inference-hardware,press,2026,2026-07-29,roi_financial,,220,$MILLION,,,Fractile raised $220 million to accelerate its path toward first chips and systems for frontier-model inference.,,high,high,Specific current company or cohort fact from the cited source.,slide 15,Claim kind: fact
EV-D16,2026-07-29,CRN 2026 semiconductor startup cohort,Etched,closed-cohort partner readiness,Etched — Sohu transformer ASIC and progress,https://www.etched.com/progress,official,2026-07,2026-07-29,other,,,,,,Etched’s Sohu strategy is an extreme specialization bet on transformers remaining the dominant AI architecture.,,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 16,Claim kind: interpretation
EV-D17,2026-07-29,CRN 2026 semiconductor startup cohort,d-Matrix,closed-cohort partner readiness,d-Matrix — Corsair enters full production,https://www.d-matrix.ai/announcements/d-matrix-corsair-ai-inference-platform-enters-full-production-to-meet-customer-demand/,official,2026-06-09,2026-07-29,roi_financial,,275,$MILLION,,,d-Matrix announced Corsair full production in June 2026 after raising a $275 million Series C in late 2025.,,high,high,Specific current company or cohort fact from the cited source.,slide 17,Claim kind: fact; Co-sources: https://www.d-matrix.ai/announcements/d-matrix-raises-275-million-to-power-the-age-of-ai-inference/
EV-D18,2026-07-29,CRN 2026 semiconductor startup cohort,MatX,closed-cohort partner readiness,MatX — MatX One and $500 million Series B,https://matx.com/research/series_b,press,2026-02-24,2026-07-29,roi_financial,,500,$MILLION,,,"MatX raised a $500 million Series B to finish development and scale manufacturing, with tape-out planned in under a year.",,high,high,Specific current company or cohort fact from the cited source.,slide 18,Claim kind: fact
EV-D19,2026-07-29,CRN 2026 semiconductor startup cohort,Axelera AI,closed-cohort partner readiness,Axelera AI — More than $250 million funding,https://axelera.ai/news/axelera-ai-secures-more-than-250-million-funding-on-global-commercial-growth,press,2026-02-24,2026-07-29,other,,,,,,"Compute startups occupy different positions on workload breadth, programmability, and commercialization maturity.",,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 19,Claim kind: interpretation; Co-sources: https://tenstorrent.com/newsroom/tenstorrent-sets-new-performance-records-launches-tt--ascalon-s; https://www.nextsilicon.com/insights/nextsilicon-breakthrough/; https://www.fractile.ai/news/fractile-raises-220m-to-build-the-next-generation-of-inference-hardware; https://www.etched.com/progress; https://www.d-matrix.ai/announcements/d-matrix-corsair-ai-inference-platform-enters-full-production-to-meet-customer-demand/; https://matx.com/research/series_b
EV-D20,2026-07-29,CRN 2026 semiconductor startup cohort,Cornelis Networks,closed-cohort partner readiness,Cornelis Networks — CN5000 Omni-Path platform,https://www.cornelis.com/,official,2026,2026-07-29,quality_risk,,,,,,"The interconnect cohort competes on congestion, bandwidth density, power, and programmability.",,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 20,Claim kind: interpretation; Co-sources: https://lightmatter.co/press-release/lightmatter-unveils-passage-m1000-photonic-superchip-worlds-fastest-ai-interconnect/; https://xsightlabs.com/newsroom/announcements/xsight-labs-announces-x2-programmable-sdn-ethernet-switches-for-hyperscale-and-edge-data-centers-optimized-for-the-ai-factory-era
EV-D21,2026-07-29,CRN 2026 semiconductor startup cohort,Cornelis Networks,closed-cohort partner readiness,Cornelis Networks — CN5000 Omni-Path platform,https://www.cornelis.com/,official,2026,2026-07-29,other,,,,,,"Cornelis positions CN5000 Omni-Path as a lossless, interoperable fabric for AI and HPC workloads.",,high,high,Specific current company or cohort fact from the cited source.,slide 21,Claim kind: fact; Co-sources: https://www.cornelis.com/stories/cornelis-networks-announces-29m-series-b-funding-round
EV-D22,2026-07-29,CRN 2026 semiconductor startup cohort,Lightmatter,closed-cohort partner readiness,Lightmatter — Passage M1000 photonic superchip,https://lightmatter.co/press-release/lightmatter-unveils-passage-m1000-photonic-superchip-worlds-fastest-ai-interconnect/,official,2025,2026-07-29,quality_risk,,114,Tbps,,,Lightmatter says the Passage M1000 reference platform provides 114 Tbps of total optical bandwidth.,,high,high,Specific current company or cohort fact from the cited source.,slide 22,Claim kind: fact; Co-sources: https://lightmatter.co/press-release/lightmatter-raises-400m-series-d-quadruples-valuation-to-4-4b-as-photonics-leader-for-next-gen-ai-data-centers/
EV-D23,2026-07-29,CRN 2026 semiconductor startup cohort,Xsight Labs,closed-cohort partner readiness,Xsight Labs — X2 programmable Ethernet switches,https://xsightlabs.com/newsroom/announcements/xsight-labs-announces-x2-programmable-sdn-ethernet-switches-for-hyperscale-and-edge-data-centers-optimized-for-the-ai-factory-era,official,2025,2026-07-29,quality_risk,,,,,,"Xsight announced X2 sampling as a fully programmable, low-power data-center switch for AI-factory networks.",,high,high,Specific current company or cohort fact from the cited source.,slide 23,Claim kind: fact
EV-D24,2026-07-29,CRN 2026 semiconductor startup cohort,Cornelis Networks,closed-cohort partner readiness,Cornelis Networks — CN5000 Omni-Path platform,https://www.cornelis.com/,official,2026,2026-07-29,other,,,,,,"Cornelis focuses on cluster fabric, Lightmatter on optical chip/package links, and Xsight on programmable switching silicon.",,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 24,Claim kind: interpretation; Co-sources: https://lightmatter.co/press-release/lightmatter-unveils-passage-m1000-photonic-superchip-worlds-fastest-ai-interconnect/; https://xsightlabs.com/newsroom/announcements/xsight-labs-announces-x2-programmable-sdn-ethernet-switches-for-hyperscale-and-edge-data-centers-optimized-for-the-ai-factory-era
EV-D25,2026-07-29,CRN 2026 semiconductor startup cohort,CRN cohort,closed-cohort partner readiness,CRN — The 10 Coolest Semiconductor Startups Of 2026 (So Far),https://www.crn.com/news/computing/2026/the-10-coolest-semiconductor-startups-of-2026-so-far,press,2026-07-15,2026-07-29,roi_financial,,,,,,"Commercial readiness requires evidence across workload proof, software, supply, reference customers, partners, and economics.",,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 25,Claim kind: recommendation; Co-sources: https://axelera.ai/news/axelera-ai-secures-more-than-250-million-funding-on-global-commercial-growth; https://www.nextsilicon.com/insights/nextsilicon-breakthrough/; https://www.d-matrix.ai/announcements/d-matrix-corsair-ai-inference-platform-enters-full-production-to-meet-customer-demand/; https://lightmatter.co/press-release/lightmatter-unveils-passage-m1000-photonic-superchip-worlds-fastest-ai-interconnect/; https://xsightlabs.com/newsroom/announcements/xsight-labs-announces-x2-programmable-sdn-ethernet-switches-for-hyperscale-and-edge-data-centers-optimized-for-the-ai-factory-era
EV-D26,2026-07-29,CRN 2026 semiconductor startup cohort,CRN cohort,closed-cohort partner readiness,CRN — The 10 Coolest Semiconductor Startups Of 2026 (So Far),https://www.crn.com/news/computing/2026/the-10-coolest-semiconductor-startups-of-2026-so-far,press,2026-07-15,2026-07-29,distribution,,,,,,"Distribution fit rises with product packaging, supply visibility, enablement, and support clarity.",,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 26,Claim kind: recommendation; Co-sources: https://www.gartner.com/en/newsroom/press-releases/2026-04-08-gartner-forecasts-worldwide-semiconductor-revenue-to-exceed-us-dollars-one-point-3-trillion-in-2026; https://axelera.ai/news/axelera-ai-secures-more-than-250-million-funding-on-global-commercial-growth; https://tenstorrent.com/newsroom/tenstorrent-sets-new-performance-records-launches-tt--ascalon-s; https://www.nextsilicon.com/insights/nextsilicon-breakthrough/; https://www.fractile.ai/news/fractile-raises-220m-to-build-the-next-generation-of-inference-hardware; https://www.etched.com/progress; https://www.d-matrix.ai/announcements/d-matrix-corsair-ai-inference-platform-enters-full-production-to-meet-customer-demand/; https://www.d-matrix.ai/announcements/d-matrix-raises-275-million-to-power-the-age-of-ai-inference/; https://www.cornelis.com/; https://www.cornelis.com/stories/cornelis-networks-announces-29m-series-b-funding-round; https://lightmatter.co/press-release/lightmatter-unveils-passage-m1000-photonic-superchip-worlds-fastest-ai-interconnect/; https://lightmatter.co/press-release/lightmatter-raises-400m-series-d-quadruples-valuation-to-4-4b-as-photonics-leader-for-next-gen-ai-data-centers/; https://matx.com/research/series_b; https://xsightlabs.com/newsroom/announcements/xsight-labs-announces-x2-programmable-sdn-ethernet-switches-for-hyperscale-and-edge-data-centers-optimized-for-the-ai-factory-era
EV-D27,2026-07-29,CRN 2026 semiconductor startup cohort,CRN cohort,closed-cohort partner readiness,CRN — The 10 Coolest Semiconductor Startups Of 2026 (So Far),https://www.crn.com/news/computing/2026/the-10-coolest-semiconductor-startups-of-2026-so-far,press,2026-07-15,2026-07-29,distribution,,,,,,SI fit rises when the startup exposes a deployable integration boundary and a repeatable customer outcome.,,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 27,Claim kind: recommendation; Co-sources: https://www.gartner.com/en/newsroom/press-releases/2026-04-08-gartner-forecasts-worldwide-semiconductor-revenue-to-exceed-us-dollars-one-point-3-trillion-in-2026; https://axelera.ai/news/axelera-ai-secures-more-than-250-million-funding-on-global-commercial-growth; https://tenstorrent.com/newsroom/tenstorrent-sets-new-performance-records-launches-tt--ascalon-s; https://www.nextsilicon.com/insights/nextsilicon-breakthrough/; https://www.fractile.ai/news/fractile-raises-220m-to-build-the-next-generation-of-inference-hardware; https://www.etched.com/progress; https://www.d-matrix.ai/announcements/d-matrix-corsair-ai-inference-platform-enters-full-production-to-meet-customer-demand/; https://www.d-matrix.ai/announcements/d-matrix-raises-275-million-to-power-the-age-of-ai-inference/; https://www.cornelis.com/; https://www.cornelis.com/stories/cornelis-networks-announces-29m-series-b-funding-round; https://lightmatter.co/press-release/lightmatter-unveils-passage-m1000-photonic-superchip-worlds-fastest-ai-interconnect/; https://lightmatter.co/press-release/lightmatter-raises-400m-series-d-quadruples-valuation-to-4-4b-as-photonics-leader-for-next-gen-ai-data-centers/; https://matx.com/research/series_b; https://xsightlabs.com/newsroom/announcements/xsight-labs-announces-x2-programmable-sdn-ethernet-switches-for-hyperscale-and-edge-data-centers-optimized-for-the-ai-factory-era
EV-D28,2026-07-29,CRN 2026 semiconductor startup cohort,CRN cohort,closed-cohort partner readiness,CRN — The 10 Coolest Semiconductor Startups Of 2026 (So Far),https://www.crn.com/news/computing/2026/the-10-coolest-semiconductor-startups-of-2026-so-far,press,2026-07-15,2026-07-29,distribution,,,,,,Orchestrator fit rises when partner coordination is essential to the product’s adoption and scale.,,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 28,Claim kind: recommendation; Co-sources: https://www.gartner.com/en/newsroom/press-releases/2026-04-08-gartner-forecasts-worldwide-semiconductor-revenue-to-exceed-us-dollars-one-point-3-trillion-in-2026; https://axelera.ai/news/axelera-ai-secures-more-than-250-million-funding-on-global-commercial-growth; https://tenstorrent.com/newsroom/tenstorrent-sets-new-performance-records-launches-tt--ascalon-s; https://www.nextsilicon.com/insights/nextsilicon-breakthrough/; https://www.fractile.ai/news/fractile-raises-220m-to-build-the-next-generation-of-inference-hardware; https://www.etched.com/progress; https://www.d-matrix.ai/announcements/d-matrix-corsair-ai-inference-platform-enters-full-production-to-meet-customer-demand/; https://www.d-matrix.ai/announcements/d-matrix-raises-275-million-to-power-the-age-of-ai-inference/; https://www.cornelis.com/; https://www.cornelis.com/stories/cornelis-networks-announces-29m-series-b-funding-round; https://lightmatter.co/press-release/lightmatter-unveils-passage-m1000-photonic-superchip-worlds-fastest-ai-interconnect/; https://lightmatter.co/press-release/lightmatter-raises-400m-series-d-quadruples-valuation-to-4-4b-as-photonics-leader-for-next-gen-ai-data-centers/; https://matx.com/research/series_b; https://xsightlabs.com/newsroom/announcements/xsight-labs-announces-x2-programmable-sdn-ethernet-switches-for-hyperscale-and-edge-data-centers-optimized-for-the-ai-factory-era
EV-D29,2026-07-29,CRN 2026 semiconductor startup cohort,CRN cohort,closed-cohort partner readiness,CRN — The 10 Coolest Semiconductor Startups Of 2026 (So Far),https://www.crn.com/news/computing/2026/the-10-coolest-semiconductor-startups-of-2026-so-far,press,2026-07-15,2026-07-29,roi_financial,,,,,,More specialized architectures can promise stronger economics while carrying greater workload and execution concentration.,,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 29,Claim kind: interpretation; Co-sources: https://axelera.ai/news/axelera-ai-secures-more-than-250-million-funding-on-global-commercial-growth; https://tenstorrent.com/newsroom/tenstorrent-sets-new-performance-records-launches-tt--ascalon-s; https://www.nextsilicon.com/insights/nextsilicon-breakthrough/; https://www.fractile.ai/news/fractile-raises-220m-to-build-the-next-generation-of-inference-hardware; https://www.etched.com/progress; https://www.d-matrix.ai/announcements/d-matrix-corsair-ai-inference-platform-enters-full-production-to-meet-customer-demand/; https://www.cornelis.com/; https://lightmatter.co/press-release/lightmatter-unveils-passage-m1000-photonic-superchip-worlds-fastest-ai-interconnect/; https://matx.com/research/series_b; https://xsightlabs.com/newsroom/announcements/xsight-labs-announces-x2-programmable-sdn-ethernet-switches-for-hyperscale-and-edge-data-centers-optimized-for-the-ai-factory-era
EV-D30,2026-07-29,CRN 2026 semiconductor startup cohort,Tenstorrent,closed-cohort partner readiness,Tenstorrent — TT-Ascalon S launch,https://tenstorrent.com/newsroom/tenstorrent-sets-new-performance-records-launches-tt--ascalon-s,official,2026-06-30,2026-07-29,distribution,,,,,,Business models with reusable software or IP leverage can scale differently from bespoke system and design-in models.,,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 30,Claim kind: interpretation; Co-sources: https://axelera.ai/news/axelera-ai-secures-more-than-250-million-funding-on-global-commercial-growth; https://www.d-matrix.ai/announcements/d-matrix-corsair-ai-inference-platform-enters-full-production-to-meet-customer-demand/; https://lightmatter.co/press-release/lightmatter-unveils-passage-m1000-photonic-superchip-worlds-fastest-ai-interconnect/; https://xsightlabs.com/newsroom/announcements/xsight-labs-announces-x2-programmable-sdn-ethernet-switches-for-hyperscale-and-edge-data-centers-optimized-for-the-ai-factory-era
EV-D31,2026-07-29,CRN 2026 semiconductor startup cohort,Axelera AI,closed-cohort partner readiness,Axelera AI — More than $250 million funding,https://axelera.ai/news/axelera-ai-secures-more-than-250-million-funding-on-global-commercial-growth,press,2026-02-24,2026-07-29,distribution,,,,,,"GTM effectiveness improves when technical proof, commercial offer, and partner role are tailored to the buyer’s deployment context.",,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 31,Claim kind: recommendation; Co-sources: https://www.nextsilicon.com/insights/nextsilicon-breakthrough/; https://www.d-matrix.ai/announcements/d-matrix-corsair-ai-inference-platform-enters-full-production-to-meet-customer-demand/; https://www.cornelis.com/; https://lightmatter.co/press-release/lightmatter-unveils-passage-m1000-photonic-superchip-worlds-fastest-ai-interconnect/
EV-D32,2026-07-29,CRN 2026 semiconductor startup cohort,CRN cohort,closed-cohort partner readiness,CRN — The 10 Coolest Semiconductor Startups Of 2026 (So Far),https://www.crn.com/news/computing/2026/the-10-coolest-semiconductor-startups-of-2026-so-far,press,2026-07-15,2026-07-29,distribution,,,,,,Ecosystem value grows when coordination removes adoption risk across multiple complements.,,medium,medium,Evidence-supported synthesis or directional judgment; not independently validated.,slide 32,Claim kind: recommendation; Co-sources: https://www.gartner.com/en/newsroom/press-releases/2026-04-08-gartner-forecasts-worldwide-semiconductor-revenue-to-exceed-us-dollars-one-point-3-trillion-in-2026; https://axelera.ai/news/axelera-ai-secures-more-than-250-million-funding-on-global-commercial-growth; https://tenstorrent.com/newsroom/tenstorrent-sets-new-performance-records-launches-tt--ascalon-s; https://www.nextsilicon.com/insights/nextsilicon-breakthrough/; https://www.fractile.ai/news/fractile-raises-220m-to-build-the-next-generation-of-inference-hardware; https://www.etched.com/progress; https://www.d-matrix.ai/announcements/d-matrix-corsair-ai-inference-platform-enters-full-production-to-meet-customer-demand/; https://www.d-matrix.ai/announcements/d-matrix-raises-275-million-to-power-the-age-of-ai-inference/; https://www.cornelis.com/; https://www.cornelis.com/stories/cornelis-networks-announces-29m-series-b-funding-round; https://lightmatter.co/press-release/lightmatter-unveils-passage-m1000-photonic-superchip-worlds-fastest-ai-interconnect/; https://lightmatter.co/press-release/lightmatter-raises-400m-series-d-quadruples-valuation-to-4-4b-as-photonics-leader-for-next-gen-ai-data-centers/; https://matx.com/research/series_b; https://xsightlabs.com/newsroom/announcements/xsight-labs-announces-x2-programmable-sdn-ethernet-switches-for-hyperscale-and-edge-data-centers-optimized-for-the-ai-factory-era
